LandWaterProtect,LandWaterManage,Livelihood,SpeciesManage,EducateAware,LawPolicy,WorkshopName,Justification,PARCA,TNC,EPA,ACJV,NBCI,Alabama,Florida,NorthCarolina,Virginia,Georgia,HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130401,Thousand Yard Bay,Apalachicola,Apalachicola,New,49174.22874557483,77855990.0234375
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area and ACF Corridor,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Lower Flint, Spring Creek & Suwanee corridors Concentration of private and working lands including Tall Timbers Land Conservancy, which has protected many easements within this area.",Priority,Priority, ,Priority, , ,Priority, , , ,031300110802,Juniper Cove Swamp,Apalachicola,Apalachicola,Apalachicola,71715.68307268209,99638343.6875
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area and Apalachicola Region,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.",Priority,Priority, ,Priority, , ,Priority, , , ,031200031204,Ochlockonee Bay,Ochlockonee,Ochlockonee,Lower Ochlockonee,94750.05022749194,134454285.2578125
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Bay and Florida Big Bend,"Part of the Big Bend Area. Important coastal habitat. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries. Ecologically important area with species transitions on both sides", ,Priority, ,Priority, , ,Priority, , , ,031101020503,Yates Creek-Clearwater Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,58429.44725830746,155076252.390625
 , , , , , ,,, ,Priority, ,Priority, , ,Priority, , , ,031102060701,Cow Creek Slough,Suwannee,Suwannee,Santa Fe,76956.78309351348,73264880.8828125
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130303,Gator Creek-New River,Apalachicola,Apalachicola,New,59237.40332262918,84057408.54296875
Yes,Yes,Yes,Yes, , ,Suwannee River Corridor,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority, , ,Priority, , , ,031102050601,Lower Mallory Swamp,Suwannee,Suwannee,Lower Suwannee,94271.32256162587,141833306.83984375
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola National Forest,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Important for connecting existing conservation lands to increase habitat resiliency by linking coastal to inland migration routes for improved species management. Vital to proactively address sea level rise.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130302,Lower Juniper Creek-New River,Apalachicola,Apalachicola,New,34620.80083942622,52210864.62890625
 , , , , , ,,,Priority,Priority, , , , ,Priority, , , ,031401010703,Eagle Nest Bayou-Wetappo Creek Frontal,Choctawhatchee-Escambia,Florida Panhandle Coastal,St. Andrew-St. Joseph Bays,79633.21769351274,182973535.734375
 ,Yes,Yes, , , ,Karst/Sata Fe Basin,Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture,Priority,Priority, ,Priority, , ,Priority, , , ,031102060703,Cow Creek-Sante Fe River,Suwannee,Suwannee,Santa Fe,45328.12973470896,45728387.69140625
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola National Forest,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Important for connecting existing conservation lands to increase habitat resiliency by linking coastal to inland migration routes for improved species management. Vital to proactively address sea level rise.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130203,Mud Swamp-New River,Apalachicola,Apalachicola,New,49739.200940541195,71373857.265625
 ,Yes,Yes,Yes, , ,ACF Basin South West Extension,"This area extends from the ACF main stem into some of the tributary areas.  There was a suggestion in the meeting notes to capture the entire Apalachicola/Flint HUC 6 basin, however, the group agreement during the workshop focused more specifically on this smaller portion of the HUC 6 basin",Priority,Priority,Priority, , , ,Priority, , , ,031300120606,Douglas Slough,Apalachicola,Apalachicola,Chipola,67548.37718349253,109944311.83203125
 , , , , , ,,, ,Priority,Priority,Priority, , , , , , ,030801021101,Saluda Swamp,St. Johns,St. Johns,Oklawaha,46131.05005974176,66232466.85546875
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200031202,Womack Creek Swamp,Ochlockonee,Ochlockonee,Lower Ochlockonee,78286.68698729142,111386037.87890625
